InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Month,Total cost
C536820,21843,RED RETROSPOT CAKE STAND,-1,12/2/2010 17:14,10.95,18168,United Kingdom,12,-10.95
C536822,22847,BREAD BIN DINER STYLE IVORY,-2,12/2/2010 17:19,16.95,14625,United Kingdom,12,-33.9
C536822,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,-1,12/2/2010 17:19,3.75,14625,United Kingdom,12,-3.75
C536825,22617,BAKING SET SPACEBOY DESIGN,-1,12/2/2010 17:27,4.95,15384,United Kingdom,12,-4.95
C536825,22197,SMALL POPCORN HOLDER,-2,12/2/2010 17:27,0.85,15384,United Kingdom,12,-1.7
C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-2,12/2/2010 17:30,4.65,17924,United Kingdom,12,-9.3
C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-3,12/2/2010 17:30,4.65,17924,United Kingdom,12,-13.95
C536827,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-3,12/2/2010 17:31,6.95,13408,United Kingdom,12,-20.85
C536828,22832,BROCANTE SHELF WITH HOOKS,-1,12/2/2010 17:35,10.75,14264,United Kingdom,12,-10.75
C536828,84946,ANTIQUE SILVER TEA GLASS ETCHED,-3,12/2/2010 17:35,1.25,14264,United Kingdom,12,-3.75
C536829,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,12/2/2010 17:36,3.25,13295,United Kingdom,12,-3.25
C536850,22942,CHRISTMAS LIGHTS 10 SANTAS ,-48,12/3/2010 9:47,7.65,14213,United Kingdom,12,-367.2
C536850,22689,DOORMAT MERRY CHRISTMAS RED ,-50,12/3/2010 9:47,6.75,14213,United Kingdom,12,-337.5
C536850,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,-50,12/3/2010 9:47,2.55,14213,United Kingdom,12,-127.5
C536850,22580,ADVENT CALENDAR GINGHAM SACK,-48,12/3/2010 9:47,4.95,14213,United Kingdom,12,-237.6
C536850,22186,RED STAR CARD HOLDER,-48,12/3/2010 9:47,2.55,14213,United Kingdom,12,-122.4
C536853,84678,CLASSICAL ROSE SMALL VASE,-1,12/3/2010 10:07,2.55,14679,United Kingdom,12,-2.55
C536854,22158,3 HEARTS HANGING DECORATION RUSTIC,-1,12/3/2010 10:09,2.95,15240,United Kingdom,12,-2.95
C536854,22944,CHRISTMAS METAL POSTCARD WITH BELLS,-1,12/3/2010 10:09,1.25,15240,United Kingdom,12,-1.25
C536854,21871,SAVE THE PLANET MUG,-1,12/3/2010 10:09,1.25,15240,United Kingdom,12,-1.25
C536855,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-4,12/3/2010 10:11,7.95,18225,United Kingdom,12,-31.8
C536978,22776,SWEETHEART CAKESTAND 3 TIER,-1,12/3/2010 14:19,9.95,17954,United Kingdom,12,-9.95
C536979,84685,BEACH HUT KEY CABINET,-1,12/3/2010 14:23,3.75,17841,United Kingdom,12,-3.75
C536979,22630,DOLLY GIRL LUNCH BOX,-1,12/3/2010 14:23,1.95,17841,United Kingdom,12,-1.95
C537024,20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,-36,12/3/2010 16:21,2.1,13941,United Kingdom,12,-75.6
C537039,22854,CREAM SWEETHEART EGG HOLDER,-1,12/5/2010 10:25,4.95,15708,United Kingdom,12,-4.95
C537039,20936,FORKED CACTUS CANDLE,-1,12/5/2010 10:25,2.95,15708,United Kingdom,12,-2.95
C537039,85175,CACTI T-LIGHT CANDLES,-1,12/5/2010 10:25,0.42,15708,United Kingdom,12,-0.42
C537043,22575,METAL MERRY CHRISTMAS WREATH,-6,12/5/2010 10:48,1.95,15351,United Kingdom,12,-11.7
C537043,11001,ASSTD DESIGN RACING CAR PEN,-1,12/5/2010 10:48,1.69,15351,United Kingdom,12,-1.69
C537132,22788,BROCANTE COAT RACK,-2,12/5/2010 12:29,8.5,15221,United Kingdom,12,-17
C537132,22184,CAKE STAND VICTORIAN FILIGREE LARGE,-1,12/5/2010 12:29,8.5,15221,United Kingdom,12,-8.5
C537132,71279,PINK GLASS CANDLEHOLDER,-2,12/5/2010 12:29,2.95,15221,United Kingdom,12,-5.9
C537132,22761,CHEST 7 DRAWER MA CAMPAGNE,-2,12/5/2010 12:29,21.95,15221,United Kingdom,12,-43.9
C537132,22769,CHALKBOARD KITCHEN ORGANISER,-8,12/5/2010 12:29,21.95,15221,United Kingdom,12,-175.6
C537132,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,-3,12/5/2010 12:29,12.75,15221,United Kingdom,12,-38.25
C537143,20685,DOORMAT RED RETROSPOT,-1,12/5/2010 12:58,7.95,12748,United Kingdom,12,-7.95
C537157,35953,FOLKART STAR CHRISTMAS DECORATIONS,-24,12/5/2010 13:09,1.25,15880,United Kingdom,12,-30
C537203,37449,CERAMIC CAKE STAND + HANGING CAKES,-1,12/5/2010 14:44,9.95,14606,United Kingdom,12,-9.95
C537203,21424,WOODLAND STORAGE BOX LARGE ,-1,12/5/2010 14:44,2.95,14606,United Kingdom,12,-2.95
C537232,84840,SWEETHEART CARRY-ALL BASKET,-2,12/6/2010 9:31,8.5,12586,Italy,12,-17
C537234,22653,BUTTON BOX ,-20,12/6/2010 9:40,1.95,16161,United Kingdom,12,-39
C537314,21349,IVY HEART WREATH,-4,12/6/2010 11:42,6.75,13497,United Kingdom,12,-27
C537320,35400,WOODEN BOX ADVENT CALENDAR ,-1,12/6/2010 11:47,8.95,14867,United Kingdom,12,-8.95
C537333,22636,CHILDS BREAKFAST SET CIRCUS PARADE,-4,12/6/2010 12:00,8.5,12474,Germany,12,-34
C537373,22423,REGENCY CAKESTAND 3 TIER,-1,12/6/2010 12:55,12.75,14487,United Kingdom,12,-12.75
C537379,22865,HAND WARMER OWL DESIGN,-10,12/6/2010 13:12,2.1,15882,United Kingdom,12,-21
C537383,21658,GLASS  BEURRE DISH,-1,12/6/2010 13:17,3.95,16550,United Kingdom,12,-3.95
C537383,22197,SMALL POPCORN HOLDER,-1,12/6/2010 13:17,0.85,16550,United Kingdom,12,-0.85
C537383,22371,AIRLINE BAG VINTAGE TOKYO 78,-1,12/6/2010 13:17,4.25,16550,United Kingdom,12,-4.25
C537398,22430,ENAMEL WATERING CAN CREAM,-1,12/6/2010 14:22,4.95,15426,United Kingdom,12,-4.95
C537402,22926,IVORY GIANT GARDEN THERMOMETER,-4,12/6/2010 14:43,5.95,15502,United Kingdom,12,-23.8
C537402,22927,GREEN GIANT GARDEN THERMOMETER,-4,12/6/2010 14:43,5.95,15502,United Kingdom,12,-23.8
C537402,22849,BREAD BIN DINER STYLE MINT,-4,12/6/2010 14:43,14.95,15502,United Kingdom,12,-59.8
C537402,22847,BREAD BIN DINER STYLE IVORY,-4,12/6/2010 14:43,14.95,15502,United Kingdom,12,-59.8
C537402,47580,TEA TIME DES TEA COSY,-6,12/6/2010 14:43,2.55,15502,United Kingdom,12,-15.3
C537402,22196,SMALL HEART MEASURING SPOONS,-12,12/6/2010 14:43,0.85,15502,United Kingdom,12,-10.2
C537406,22926,IVORY GIANT GARDEN THERMOMETER,-4,12/6/2010 14:53,5.95,15502,United Kingdom,12,-23.8
C537406,22927,GREEN GIANT GARDEN THERMOMETER,-4,12/6/2010 14:53,5.95,15502,United Kingdom,12,-23.8
C537406,22847,BREAD BIN DINER STYLE IVORY,-4,12/6/2010 14:53,14.95,15502,United Kingdom,12,-59.8
C537406,22849,BREAD BIN DINER STYLE MINT,-4,12/6/2010 14:53,14.95,15502,United Kingdom,12,-59.8
C537408,47580,TEA TIME DES TEA COSY,-6,12/6/2010 14:55,2.55,15502,United Kingdom,12,-15.3
C537408,22196,SMALL HEART MEASURING SPOONS,-12,12/6/2010 14:55,0.85,15502,United Kingdom,12,-10.2
C537413,22834,HAND WARMER BABUSHKA DESIGN,-72,12/6/2010 15:07,2.1,14409,United Kingdom,12,-151.2
C537414,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,-6,12/6/2010 15:09,2.95,16861,United Kingdom,12,-17.7
C537416,22840,ROUND CAKE TIN VINTAGE RED,-1,12/6/2010 15:10,7.95,16138,United Kingdom,12,-7.95
C537417,22960,JAM MAKING SET WITH JARS,-1,12/6/2010 15:12,4.25,13481,United Kingdom,12,-4.25
C537431,21755,LOVE BUILDING BLOCK WORD,-1,12/6/2010 16:10,5.95,16782,United Kingdom,12,-5.95
C537444,22580,ADVENT CALENDAR GINGHAM SACK,-8,12/7/2010 8:42,5.95,14850,United Kingdom,12,-47.6
C537445,22418,10 COLOUR SPACEBOY PEN,-11,12/7/2010 8:57,0.85,15021,United Kingdom,12,-9.35
C537530,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-1,12/7/2010 11:47,7.95,13319,United Kingdom,12,-7.95
C537530,85047,WHITE BEADED GARLAND STRING 20LIGHT,-2,12/7/2010 11:47,6.35,13319,United Kingdom,12,-12.7
C537530,22726,ALARM CLOCK BAKELIKE GREEN,-2,12/7/2010 11:47,3.75,13319,United Kingdom,12,-7.5
C537596,22968,ROSE COTTAGE KEEPSAKE BOX ,-2,12/7/2010 12:31,9.95,17954,United Kingdom,12,-19.9
C537602,85099B,JUMBO BAG RED RETROSPOT,-1,12/7/2010 12:45,1.65,17511,United Kingdom,12,-1.65
C537602,21622,VINTAGE UNION JACK CUSHION COVER,-1,12/7/2010 12:45,4.95,17511,United Kingdom,12,-4.95
C537602,22065,CHRISTMAS PUDDING TRINKET POT ,-1,12/7/2010 12:45,1.25,17511,United Kingdom,12,-1.25
C537602,22061,LARGE CAKE STAND  HANGING STRAWBERY,-1,12/7/2010 12:45,8.5,17511,United Kingdom,12,-8.5
C537602,22654,DELUXE SEWING KIT ,-1,12/7/2010 12:45,4.95,17511,United Kingdom,12,-4.95
C537602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,12/7/2010 12:45,2.55,17511,United Kingdom,12,-2.55
C537602,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,-1,12/7/2010 12:45,2.95,17511,United Kingdom,12,-2.95
C537602,22197,SMALL POPCORN HOLDER,-1,12/7/2010 12:45,0.72,17511,United Kingdom,12,-0.72
C537602,22659,LUNCH BOX I LOVE LONDON,-4,12/7/2010 12:45,1.65,17511,United Kingdom,12,-6.6
C537602,22169,FAMILY ALBUM WHITE PICTURE FRAME,-1,12/7/2010 12:45,7.65,17511,United Kingdom,12,-7.65
C537602,21843,RED RETROSPOT CAKE STAND,-1,12/7/2010 12:45,9.95,17511,United Kingdom,12,-9.95
C537602,22423,REGENCY CAKESTAND 3 TIER,-2,12/7/2010 12:45,10.95,17511,United Kingdom,12,-21.9
C537602,84050,PINK HEART SHAPE EGG FRYING PAN,-1,12/7/2010 12:45,1.25,17511,United Kingdom,12,-1.25
C537602,22198,LARGE POPCORN HOLDER ,-1,12/7/2010 12:45,1.45,17511,United Kingdom,12,-1.45
C537611,22865,HAND WARMER OWL DESIGN,-36,12/7/2010 13:25,2.1,17675,United Kingdom,12,-75.6
C537656,21258,VICTORIAN SEWING BOX LARGE,-12,12/7/2010 16:21,10.95,15100,United Kingdom,12,-131.4
C537677,21166,COOK WITH WINE METAL SIGN ,-1,12/8/2010 9:55,1.95,14796,United Kingdom,12,-1.95
C537684,22301,COFFEE MUG CAT + BIRD DESIGN,-1,12/8/2010 10:18,2.55,14901,United Kingdom,12,-2.55
C537684,22730,ALARM CLOCK BAKELIKE IVORY,-1,12/8/2010 10:18,3.75,14901,United Kingdom,12,-3.75
C537746,22156,HEART DECORATION WITH PEARLS ,-1,12/8/2010 11:03,0.85,15021,United Kingdom,12,-0.85
C537746,21558,SKULL LUNCH BOX WITH CUTLERY ,-1,12/8/2010 11:03,2.55,15021,United Kingdom,12,-2.55
C537746,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,12/8/2010 11:03,3.25,15021,United Kingdom,12,-3.25
C537756,21914,BLUE HARMONICA IN BOX ,-24,12/8/2010 11:33,1.25,14952,United Kingdom,12,-30
C537756,84949,SILVER HANGING T-LIGHT HOLDER,-8,12/8/2010 11:33,1.65,14952,United Kingdom,12,-13.2
C537756,21275,ZINC TOP  2 DOOR WOODEN SHELF ,-4,12/8/2010 11:33,14.95,14952,United Kingdom,12,-59.8
C537763,85068,CREAM SWEETHEART SHELF + HOOKS,-1,12/8/2010 12:03,7.95,16713,United Kingdom,12,-7.95
C537788,90062,CARNIVAL BRACELET,-1,12/8/2010 12:49,12.75,15916,United Kingdom,12,-12.75
C537788,16202E,BLACK PHOTO ALBUM ,-1,12/8/2010 12:49,5.55,15916,United Kingdom,12,-5.55
C537797,22501,PICNIC BASKET WICKER LARGE,-1,12/8/2010 13:07,8.5,13113,United Kingdom,12,-8.5
C537797,22423,REGENCY CAKESTAND 3 TIER,-2,12/8/2010 13:07,10.95,13113,United Kingdom,12,-21.9
C537797,22469,HEART OF WICKER SMALL,-1,12/8/2010 13:07,1.45,13113,United Kingdom,12,-1.45
C537798,22357,KINGS CHOICE BISCUIT TIN,-1,12/8/2010 13:07,4.25,16553,United Kingdom,12,-4.25
C537805,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,12/8/2010 13:18,4.65,15311,United Kingdom,12,-4.65
C537805,40001,WHITE BAMBOO RIBS LAMPSHADE,-2,12/8/2010 13:18,0.64,15311,United Kingdom,12,-1.28
C537805,85047,WHITE BEADED GARLAND STRING 20LIGHT,-1,12/8/2010 13:18,5.55,15311,United Kingdom,12,-5.55
C537805,22719,GUMBALL MONOCHROME COAT RACK,-3,12/8/2010 13:18,1.06,15311,United Kingdom,12,-3.18
C537805,20798,CLEAR MILKSHAKE GLASS,-4,12/8/2010 13:18,1.65,15311,United Kingdom,12,-6.6
C537805,22198,LARGE POPCORN HOLDER ,-1,12/8/2010 13:18,1.45,15311,United Kingdom,12,-1.45
C537805,22197,SMALL POPCORN HOLDER,-1,12/8/2010 13:18,0.72,15311,United Kingdom,12,-0.72
C537805,20829,GLITTER HANGING BUTTERFLY STRING,-1,12/8/2010 13:18,2.1,15311,United Kingdom,12,-2.1
C537805,22571,ROCKING HORSE RED CHRISTMAS ,-1,12/8/2010 13:18,0.85,15311,United Kingdom,12,-0.85
C537807,84949,SILVER HANGING T-LIGHT HOLDER,-5,12/8/2010 13:23,1.65,13495,United Kingdom,12,-8.25
C537807,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-3,12/8/2010 13:23,4.95,13495,United Kingdom,12,-14.85
C537807,21143,ANTIQUE GLASS HEART DECORATION ,-1,12/8/2010 13:23,1.95,13495,United Kingdom,12,-1.95
C537807,21812,GARLAND WITH HEARTS AND BELLS,-6,12/8/2010 13:23,4.95,13495,United Kingdom,12,-29.7
C537812,21843,RED RETROSPOT CAKE STAND,-10,12/8/2010 13:33,9.95,14299,United Kingdom,12,-99.5
C537812,22423,REGENCY CAKESTAND 3 TIER,-10,12/8/2010 13:33,10.95,14299,United Kingdom,12,-109.5
C537814,20703,BLUE PADDED SOFT MOBILE,-3,12/8/2010 13:43,4.25,12712,Germany,12,-12.75
C537820,22627,MINT KITCHEN SCALES,-1,12/8/2010 14:10,8.5,16016,United Kingdom,12,-8.5
C537821,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-3,12/8/2010 14:20,6.95,18193,United Kingdom,12,-20.85
C537824,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,-1,12/8/2010 14:27,9.95,12870,United Kingdom,12,-9.95
C537824,22784,LANTERN CREAM GAZEBO ,-1,12/8/2010 14:27,4.95,12870,United Kingdom,12,-4.95
C537832,22073,RED RETROSPOT STORAGE JAR,-2,12/8/2010 14:52,3.75,16858,United Kingdom,12,-7.5
C537832,21531,RED RETROSPOT SUGAR JAM BOWL,-4,12/8/2010 14:52,2.1,16858,United Kingdom,12,-8.4
C537832,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-2,12/8/2010 14:52,6.95,16858,United Kingdom,12,-13.9
C537834,22697,GREEN REGENCY TEACUP AND SAUCER,-1,12/8/2010 14:54,2.95,13267,United Kingdom,12,-2.95
C537834,21314,SMALL GLASS HEART TRINKET POT,-1,12/8/2010 14:54,2.1,13267,United Kingdom,12,-2.1
C537834,22798,ANTIQUE GLASS DRESSING TABLE POT,-3,12/8/2010 14:54,2.95,13267,United Kingdom,12,-8.85
C537835,22138,BAKING SET 9 PIECE RETROSPOT ,-3,12/8/2010 14:57,4.95,14618,United Kingdom,12,-14.85
C537838,22299,PIG KEYRING WITH LIGHT & SOUND ,-4,12/8/2010 15:01,1.25,13115,United Kingdom,12,-5
C537853,79000,MOROCCAN TEA GLASS,-1,12/8/2010 15:57,0.85,13370,United Kingdom,12,-0.85
C537853,22940,FELTCRAFT CHRISTMAS FAIRY,-1,12/8/2010 15:57,4.25,13370,United Kingdom,12,-4.25
C537853,22169,FAMILY ALBUM WHITE PICTURE FRAME,-2,12/8/2010 15:57,8.5,13370,United Kingdom,12,-17
C537853,22697,GREEN REGENCY TEACUP AND SAUCER,-1,12/8/2010 15:57,2.95,13370,United Kingdom,12,-2.95
C537853,22960,JAM MAKING SET WITH JARS,-2,12/8/2010 15:57,4.25,13370,United Kingdom,12,-8.5
C537856,37370,RETRO COFFEE MUGS ASSORTED,-2,12/8/2010 15:59,1.25,14388,United Kingdom,12,-2.5
C537856,21843,RED RETROSPOT CAKE STAND,-1,12/8/2010 15:59,10.95,14388,United Kingdom,12,-10.95
C537860,84406B,CREAM CUPID HEARTS COAT HANGER,-8,12/8/2010 16:15,3.25,16252,United Kingdom,12,-26
C537860,22295,HEART FILIGREE DOVE LARGE,-12,12/8/2010 16:15,1.65,16252,United Kingdom,12,-19.8
C537860,22193,RED DINER WALL CLOCK,-2,12/8/2010 16:15,8.5,16252,United Kingdom,12,-17
C537860,22180,RETROSPOT LAMP,-1,12/8/2010 16:15,9.95,16252,United Kingdom,12,-9.95
C537860,21624,VINTAGE UNION JACK DOORSTOP,-3,12/8/2010 16:15,5.95,16252,United Kingdom,12,-17.85
C537860,21485,RETROSPOT HEART HOT WATER BOTTLE,-3,12/8/2010 16:15,4.95,16252,United Kingdom,12,-14.85
C537860,20897,VINTAGE NOTEBOOK PARIS DAYS,-6,12/8/2010 16:15,2.95,16252,United Kingdom,12,-17.7
C537860,37370,RETRO COFFEE MUGS ASSORTED,-12,12/8/2010 16:15,1.25,16252,United Kingdom,12,-15
C537860,22049,WRAP CHRISTMAS SCREEN PRINT,-25,12/8/2010 16:15,0.42,16252,United Kingdom,12,-10.5
C537860,21888,BINGO SET,-4,12/8/2010 16:15,3.75,16252,United Kingdom,12,-15
C537860,21240,BLUE POLKADOT CUP,-8,12/8/2010 16:15,0.85,16252,United Kingdom,12,-6.8
C537860,21066,VINTAGE RED MUG,-12,12/8/2010 16:15,1.25,16252,United Kingdom,12,-15
C537860,20675,BLUE POLKADOT BOWL,-8,12/8/2010 16:15,1.25,16252,United Kingdom,12,-10
C537860,22192,BLUE DINER WALL CLOCK,-2,12/8/2010 16:15,8.5,16252,United Kingdom,12,-17
C537860,21244,BLUE POLKADOT PLATE ,-8,12/8/2010 16:15,1.69,16252,United Kingdom,12,-13.52
C537860,21242,RED RETROSPOT PLATE ,-8,12/8/2010 16:15,1.69,16252,United Kingdom,12,-13.52
C537860,20676,RED RETROSPOT BOWL,-8,12/8/2010 16:15,1.25,16252,United Kingdom,12,-10
C537860,79066K,RETRO MOD TRAY,-10,12/8/2010 16:15,0.85,16252,United Kingdom,12,-8.5
C537860,22637,PIGGY BANK RETROSPOT ,-6,12/8/2010 16:15,2.55,16252,United Kingdom,12,-15.3
C537860,22508,DOORSTOP RETROSPOT HEART,-4,12/8/2010 16:15,3.75,16252,United Kingdom,12,-15
C537860,21238,RED RETROSPOT CUP,-8,12/8/2010 16:15,0.85,16252,United Kingdom,12,-6.8
C537893,22450,SILK PURSE BABUSHKA BLUE,-1,12/9/2010 10:14,3.35,12721,France,12,-3.35
C537893,22634,CHILDS BREAKFAST SET SPACEBOY ,-2,12/9/2010 10:14,9.95,12721,France,12,-19.9
C537893,22630,DOLLY GIRL LUNCH BOX,-2,12/9/2010 10:14,1.95,12721,France,12,-3.9
C537998,22727,ALARM CLOCK BAKELIKE RED ,-4,12/9/2010 11:42,3.75,17411,United Kingdom,12,-15
C537998,22725,ALARM CLOCK BAKELIKE CHOCOLATE,-4,12/9/2010 11:42,3.75,17411,United Kingdom,12,-15
